CURRENT CONGREGATION,ORIGINAL CONGREGATION,FULL ADDRESS,ZIP CODE,YEAR ORIGINAL BUILDING COMPLETED,CIRCA/PRE/POST,ORIGINAL ARCHITECT,Phila Register (Ind),Phila Register (District),National Register (Ind),National Register (District),NHL,HABS,DATE SOURCE,ARCHITECT SOURCE,CITY COUNCIL,PLANNING DISTRICT,SINGLE BUILDING/COMPLEX,ORIGINAL FAITH,CURRENT FAITH,ADD1,ADD1YR,ADD1ARCH,ADD2,ADD2YR,ADD2ARCH,ADD3,ADD3YR,ADD3ARCH,ARTISANS,EXTMAT1,EXTMAT2,NOTES,DEMOLITION PERMITS (SINCE 2006),CENSUS OF STAINED GLASS,COVENANT ON FILE,COOPERMAN INVENTORY,CHANGE IN FAITH/DENOMINATION,TAX PARCEL #,AKA ADDRESS,OWNER1,OWNER2,CENSUS,Geocode Address,FOR SALE/SOLD/CLOSED/VACANT,UNSAFE/IMM.DANG.,Icon
FIRST UNITED METHODIST CHURCH OF GERMANTOWN,FIRST UNITED METHODIST CHURCH OF GERMANTOWN,6001-6025 GERMANTOWN AVENUE,19144,1898,,RANKIN & KELLOGG,YES,NO,NO,COLONIAL GERMANTOWN,NO,NO,MOSS,MOSS,8,UPPER NORTHWEST,COMPLEX,METHODIST,METHODIST,,,,TURNER MEMORIAL CHAPEL; EDUCATION BUILDING,1931,THORALF M. SUNDT; BRUCE C. WENNER,,,,TIFFANY STUDIOS; WILLET STUDIO; JOHN LA FARGE; JOHN TAYLOR CO. (CARILLON); NICOLA D'ASCENZO; FRANCES K. TALBOT; ELLWOOD DELONG,GRANITE,LIMESTONE,PASTORIUS GREEN TREE TAVERN (1740S) WAS MOVED A FEW FEET TO ACCOMMODATE 1931 ADDITIONS (MOSS 276),,NO,PSP,NO,NO,775154000,,FIRST ME CHURCH OF GTN,,252,"6001  GERMANTOWN AVENUE Philadelphia, PA",,,small_green
CATHEDRAL BASILICA OF SAINTS PETER AND PAUL,CATHEDRAL BASILICA OF SAINTS PETER AND PAUL,209-225 N. 18TH STREET,19103,1864,,NAPOLEON LEBRUN; JOHN NOTMAN (FA�ADE),YES,NO,YES,NO,NO,NO,MOSS,MOSS,5,CENTRAL,,ROMAN CATHOLIC,ROMAN CATHOLIC,INTERIOR RENOVATIONS AND REDECORATION,1913,HENRY D. DAGIT,CHAPEL OF OUR LADY OF THE BLESSED SACRAMENT; SANCTUARY EXTENSION,1957,OTTO R. EGGERS; DANIEL P. HIGGINS,,,,GORHAM STUDIOS OF NEW YORK,BROWNSTONE,,,,YES,NO,NO,NO,772274000,,CARDINAL JOHN J KROL,,3,"209 N. 18TH STREET Philadelphia, PA",,US,small_green
SAINT PATRICK'S CATHOLIC CHURCH,SAINT PATRICK'S CHURCH,250 S. 20TH STREET,19103,1911,,LA FARGE & MORRIS,NO,RITTENHOUSE FITLER,NO,RITTENHOUSE,NO,NO,PCP,PHC,5,CENTRAL,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,BRICK,TERRA COTTA,,,YES,NO,NO,NO,772304000,2001-2017 RITTENHOUSE STREET,REV DENNIS J DOUGHERTY,IN TRUST,8,"250 S. 20TH STREET Philadelphia, PA",,,small_green
SAINT PAUL'S CATHOLIC CHURCH,SAINT PAUL'S CATHOLIC CHURCH,923 CHRISTIAN STREET,19147,1865,,"JOHN MCARTHUR, JR.",YES,NO,NO,NO,NO,NO,MOSS,UNCONFIRMED,1,CENTRAL,,ROMAN CATHOLIC,ROMAN CATHOLIC,ALTERATIONS (PHC),1905,EDWIN F. DURANG,,,,,,,,BRICK,STONE,,,YES,NO,NO,NO,771081000,,REV DENNIS J DOUGHERTY,IN TRUST ST PAULS,18,"923  CHRISTIAN STREET Philadelphia, PA",,,small_green
SAINT VERONICA CATHOLIC CHURCH,SAINT VERONICA CATHOLIC CHURCH,3501-3525 N. 6TH STREET,19140,1909,,EDWIN F. DURANG & SON,YES,NO,NO,NO,NO,NO,PAB,,7,NORTH,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,NO,NO,NO,NO,777395000,533 W. TIOGA STREET,ARCHDIOCESE OF PHILA,,199,"3501 N. 6TH STREET Philadelphia, PA",,,small_green
TEMPLE PERFORMING ARTS CENTER,GRACE BAPTIST CHURCH/THE BAPTIST TEMPLE,1837-1855 N. BROAD STREET,19122,1899,,THOMAS P. LONSDALE,YES,NO,NO,NO,NO,YES,PHMC,,5,LOWER NORTH,,BAPTIST,ADAPTIVE REUSE,,,,,,,,,,,GRANITE,,,,NO,NO,NO,YES,777511000,,TEMPLE UNIVERSITY OF,THE COMMONWEALTH,154,"1837 N. BROAD STREET Philadelphia, PA",,,small_green
WESLEY AFRICAN METHODIST EPISCOPAL ZION CHURCH,CHURCH OF THE EVANGELIST; 15TH STREET PRESBYTERIAN CHURCH,1500-1504 LOMBARD STREET,19146,1853,,FRANK R. WATSON?,NO,RITTENHOUSE FITLER,YES,NO,NO,NO,PRESBYTERIAN CHURCH IN PHILADELPHIA (WHITE & SCOTT),,2,CENTRAL,,PRESBYTERIAN,AFRICAN METHODIST EPISCOPAL,ALTERATIONS (COOPERMAN),1893,FRANK WATSON,ALTERATIONS (COOPERMAN),1923,GEORGE SAVAGE,,,,,STONE,,,,NO,NO,YES,YES,772162000,,JOHN SMITH ETAL TRS,EPISCOPAL LION CHURCH,12,"1500  LOMBARD STREET Philadelphia, PA",,,small_green
FORMER SAINT ANDREW'S BYZANTINE UKRAINIAN CATHOLIC CHURCH,SAINT ANDREW'S BYZANTINE UKRAINIAN CATHOLIC CHURCH; JEWISH NATIONAL WORKER EDUCATIONAL CENTER (ORIGINAL),425-429 PINE STREET,19106,1850,CIRCA,UNKNOWN,NO,SOCIETY HILL,NO,SOCIETY HILL,NO,NO,PHC HISTORIC DISTRICT INVENTORY,,1,CENTRAL,,JUDAISM,N/A,RENOVATIONS (PHC HD),1951,,,,,,,,,BRICK,,,,NO,NO,NO,YES,51182350,,MORGAN CAT LLC,,10,"425  PINE STREET Philadelphia, PA",FOR SALE,,small_green
CHRIST ASCENSION LUTHERAN CHURCH,CHRIST EVANGELICAL LUTHERAN CHURCH,8300 GERMANTOWN AVENUE,19118,1871,,CHARLES M. BURNS,YES,NO,NO,CHESTNUT HILL,NO,NO,CONGREGATION WEBSITE,,8,UPPER NORTHWEST,COMPLEX,LUTHERAN,LUTHERAN,PARISH HOUSE,1907,UNKNOWN,,,,,,,,,,,,YES,NO,NO,NO,775166000,,THE EVANGELICAL,LUTHERAN CHRIST,228,"8300  GERMANTOWN AVENUE Philadelphia, PA",,,small_green
NEW UMBRIA BAPTIST CHURCH,"PURPOSE BUILT? ""CLUB"" ON SITE IN HISTORIC MAPS",4147-4149 MAIN STREET,19127,,,,NO,MANAYUNK,NO,MANAYUNK MAIN STREET,NO,NO,,,4,LOWER NORTHWEST,,N/A,BAPTIST,,,,,,,,,,,,,,,NO,NO,NO,YES,775231000,,NEW UMBRIA BAPT CHURCH,,210,"4147  MAIN STREET Philadelphia, PA",,,small_green
